"","decomposedRes.x","decomposedRes.seasonal","decomposedRes.trend","decomposedRes.random"
"790",3.09,1.01711690006202,4.23616438356164,0.717157929145897
"791",3.13,1.04746414416377,4.21712328767123,0.708579974241448
"792",3.15,1.05548844805513,4.19835616438356,0.710849709810775
"793",3.1,1.06805562398244,4.1812602739726,0.694161655837984
"794",3.16,1.07925053958216,4.16435616438356,0.703099747357508
"795",3.12,1.07032570820355,4.14712328767123,0.702897001499611
"796",3.2,1.09144475432727,4.13013698630137,0.709878076814314
"797",3.12,1.08393684541528,4.11350684931507,0.699742721985133
"798",3.11,1.08089010092416,4.09775342465753,0.702155056349357
"799",3.12,1.08894742092118,4.0826301369863,0.701790760659828
"800",3.22,1.10438251662961,4.06783561643836,0.716758669176293
"801",3.21,1.11973245263064,4.05419178082192,0.707109184472428
"802",3.25,1.13353182226691,4.04131506849315,0.709458398127254
"803",3.3,1.15330928613491,4.02950684931507,0.710094669782621
"804",3.48,1.17979666070515,4.018,0.734111705366879
"805",3.56,1.18466953195624,4.00643835616438,0.75005707825721
"806",3.59,1.17988668697847,3.99432876712329,0.761746275717867
"807",3.23,1.16400855536082,3.98191780821918,0.696873674349606
"808",3.27,1.17638127638552,3.97024657534247,0.700135613547743
"809",3.49,1.15710968476608,3.96008219178082,0.761634658494858
"810",3.38,1.17095977127544,3.95076712328767,0.730622923496361
"811",3.44,1.10518924645528,3.94145205479452,0.789706193291323
"812",3.44,1.12524245435425,3.93323287671233,0.777253475366267
"813",3.51,1.09618291754949,3.92490410958904,0.815821291959369
"814",3.58,1.10483975128862,3.91709589041096,0.827217154392592
"815",3.73,1.14356211336708,3.90824657534247,0.834578355448562
"816",3.79,1.11893491558248,3.90019178082192,0.868457202485413
"817",3.74,1.12753302549142,3.89301369863014,0.85203296733357
"818",3.79,1.13019596873396,3.88616438356164,0.862907589819178
"819",4.01,1.1280807803624,3.88112328767123,0.915897205332933
"820",3.89,1.12213884322023,3.87567123287671,0.894450015700592
"821",3.84,0.843349894020445,3.87035616438356,1.17644735446178
"822",3.71,1.13722601772898,3.86523287671233,0.844017512150808
"823",3.99,1.16887386701978,3.86090410958904,0.884130211678938
"824",3.9,1.11732436009665,3.8573698630137,0.904886390578074
"825",3.89,1.10799225060976,3.85465753424658,0.910808508604947
"826",4.13,1.11853771541329,3.85290410958904,0.958321471395466
"827",4.02,1.10796911097495,3.85183561643836,0.941956084151565
"828",4.18,1.12802006005442,3.85115068493151,0.962207963924055
"829",4.25,1.15486685116741,3.85150684931507,0.955490426057297
"830",4.17,1.14855546448583,3.85115068493151,0.94274355241124
"831",4.37,1.17213161689827,3.85158904109589,0.967977168790862
"832",4.2,1.14043962881258,3.85197260273973,0.956079047652052
"833",4.31,1.15143029514185,3.85230136986302,0.971671272745331
"834",4.34,1.14035150766549,3.85358904109589,0.98761025348059
