FECHA,APERTURA,ULTIMO
20130405,1.27,1.3
20130408,1.3,1.32
20130409,1.32,1.36
20130410,1.33,1.32
20130411,1.31,1.29
20130412,1.28,1.28
20130415,1.28,1.25
20130416,1.26,1.26
20130417,1.25,1.24
20130418,1.23,1.21
20130419,1.22,1.22
20130422,1.22,1.22
20130423,1.24,1.27
20130424,1.27,1.26
20130425,1.26,1.29
20130426,1.28,1.25
20130429,1.25,1.26
20130430,1.26,1.27
20130502,1.28,1.29
20130503,1.28,1.3
20130506,1.31,1.35
20130507,1.35,1.48
20130508,1.49,1.44
20130509,1.42,1.35
20130510,1.34,1.24
20130513,1.25,1.26
20130514,1.26,1.24
20130515,1.24,1.27
20130516,1.28,1.25
20130517,1.25,1.21
20130520,1.22,1.18
20130521,1.17,1.16
20130522,1.17,1.13
20130523,1.11,1.18
20130524,1.16,1.14
20130527,1.14,1.16
20130528,1.16,1.11
20130529,1.13,1.14
20130530,1.14,1.15
20130531,1.15,1.15
20130603,1.14,1.15
20130604,1.16,1.13
20130605,1.12,1.12
20130606,1.11,1.13
20130607,1.12,1.11
20130610,1.09,1.07
20130611,1.05,1.05
20130612,1.07,0.99
20130613,0.99,1.02
20130614,1.03,1
20130617,1,0.98
20130618,0.98,0.96
20130619,0.95,0.96
20130624,0.91,0.99
20130625,1.02,1.01
20130626,1.01,1
20130627,0.99,0.995
20130628,1,0.995
20130701,0.99,1.04
20130702,1.04,0.99
20130703,0.99,0.985
20130704,0.99,1.01
20130705,1,1
20130708,1,1.04
20130710,1,1.05
20130711,1.06,1.11
20130712,1.11,1.1
20130715,1.11,1.11
20130716,1.11,1.13
20130717,1.12,1.1
20130718,1.07,1.05
20130719,1.06,1.08
20130722,1.08,1.07
20130723,1.08,1.07
20130724,1.07,1.09
20130725,1.09,1.08
20130726,1.08,1.1
20130729,1.08,1.06
20130730,1.06,1.03
20130731,1.02,1.08
20130801,1.08,1.08
20130802,1.08,1.09
20130805,1.1,1.09
20130806,1.09,1.09
20130807,1.09,1.1
20130808,1.11,1.07
20130809,1.1,1.09
20130812,1.09,1.15
20130813,1.16,1.18
20130814,1.18,1.28
20130815,1.26,1.25
20130816,1.23,1.22
20130820,1.21,1.23
20130821,1.23,1.21
20130822,1.22,1.23
20130823,1.23,1.27
20130826,1.27,1.32
20130827,1.3,1.28
20130828,1.3,1.3
20130829,1.29,1.32
20130830,1.3,1.32
20130902,1.32,1.37
20130903,1.37,1.38
20130904,1.38,1.36
20130905,1.37,1.38
20130906,1.38,1.38
20130909,1.4,1.42
20130910,1.45,1.5
20130911,1.5,1.5
20130912,1.5,1.46
20130913,1.44,1.47
20130916,1.49,1.66
20130917,1.73,1.74
20130918,1.76,1.73
20130919,1.75,1.78
20130920,1.81,1.78
20130923,1.8,1.87
20130924,1.91,1.85
20130925,1.85,1.83
20130926,1.81,1.77
20130927,1.74,1.75
20130930,1.71,1.88
20131001,1.9,2.01
20131002,2,1.93
20131003,1.97,1.93
20131004,1.91,1.84
20131007,1.92,1.97
20131008,2.01,2.07
20131009,2.09,2.12
20131010,2.15,2.25
20131011,2.32,2.35
20131015,2.46,2.32
20131016,2.32,2.19
20131017,2.2,2.35
20131018,2.4,2.44
20131021,2.5,2.49
20131022,2.5,2.41
20131023,2.35,2.14
20131024,2.1,2.28
20131025,2.28,2.2
20131028,2.24,2.11
20131029,2.11,1.95
20131030,1.95,1.94
20131031,1.92,1.9
20131101,1.9,1.88
20131104,1.89,1.98
20131105,2.01,2.07
20131107,2.07,1.95
20131108,1.96,1.92
20131111,1.94,1.97
20131112,1.97,1.88
20131113,1.88,1.81
20131114,1.81,1.96
20131115,1.99,2.01
20131118,2.05,1.93
20131119,1.87,1.79
20131120,1.87,1.87
20131121,1.93,1.94
20131122,1.97,2.13
20131126,2.3,2.34
20131127,2.41,2.24
20131128,2.24,2.36
20131129,2.36,2.28
20131202,2.28,2.14
20131203,2.14,2.03
20131204,2.04,2.02
20131205,2.05,2.03
20131206,2.04,2.06
20131209,2.07,2.08
20131210,2.1,1.96
20131211,1.97,1.97
20131212,1.96,1.95
20131213,1.97,1.94
20131216,1.96,2.01
20131217,2.01,1.99
20131218,1.95,1.92
20131219,1.91,1.84
20131220,1.84,1.83
20131223,1.81,1.77
20131226,1.78,1.81
20131227,1.8,1.9
20131230,1.92,1.89
20140102,1.89,1.9
20140103,1.9,1.99
20140106,2,1.95
20140107,1.95,1.9
20140108,1.91,1.91
20140109,1.91,1.9
20140110,1.94,1.9
20140113,1.91,1.94
20140114,1.97,1.91
20140115,1.91,1.96
20140116,1.96,2.02
20140117,2.02,2.05
20140120,2.07,2.07
20140121,2.05,2.02
20140122,2.02,2.05
20140123,2.05,1.92
20140124,1.85,1.84
20140127,1.84,1.76
20140128,1.8,1.79
20140129,1.8,1.82
20140130,1.85,1.93
20140131,1.91,1.99
20140203,2.05,2.11
20140204,2.11,2.13
20140205,2.14,2.04
20140206,2.05,2
20140207,2,1.89
20140210,1.88,1.79
20140211,1.8,1.86
20140212,1.9,1.95
20140213,1.93,1.9
20140214,1.95,2.06
20140217,2.06,2.2
20140218,2.24,2.17
20140219,2.15,2.1
20140220,2.1,2.1
20140221,2.14,2.13
20140224,2.16,2.16
20140225,2.14,2.1
20140226,2.08,2.06
20140227,2.06,2
20140228,2.03,2.06
20140305,2.05,1.98
20140306,1.98,2.05
20140307,2.06,2.04
20140310,2.05,1.99
20140311,1.99,1.99
20140312,1.98,1.98
20140313,1.99,1.97
20140314,1.9,1.95
20140317,1.96,1.95
20140318,1.96,1.96
20140319,1.96,1.96
20140320,1.96,1.98
20140321,2.01,2.03
20140325,2.06,2.07
20140326,2.07,2.16
20140327,2.16,2.26
20140328,2.29,2.2
20140331,2.22,2.28
20140401,2.28,2.34
20140403,2.48,2.44
20140404,2.46,2.46
20140407,2.44,2.43
20140408,2.42,2.56
20140409,2.58,2.54
20140410,2.52,2.61
20140411,2.63,2.54
20140414,2.54,2.5
20140415,2.54,2.43
20140416,2.43,2.49
20140421,2.5,2.53
20140422,2.53,2.62
20140423,2.62,2.8
20140424,2.81,2.79
20140425,2.8,2.78
20140428,2.8,3.01
20140429,3.01,2.95
20140430,2.9,2.92
20140505,2.94,3.02
20140506,3.06,2.97
20140507,2.99,2.91
20140508,2.91,2.8
20140509,2.83,2.93
20140512,2.93,2.9
20140513,2.95,3.02
20140514,3,3.02
20140515,2.96,2.9
20140516,2.92,2.9
20140519,2.9,3.01
20140520,3.02,3
20140521,3.01,3.29
20140522,3.49,3.44
20140523,3.47,3.4
20140526,3.4,3.47
20140527,3.53,3.58
20140528,3.65,3.75
20140529,3.81,3.92
20140530,3.93,3.89
20140602,3.94,3.84
20140603,3.85,3.82
20140604,3.85,3.75
20140605,3.8,3.88
20140606,3.98,3.96
20140609,4.05,4.12
20140610,4.16,3.88
20140611,3.95,3.94
20140612,3.94,3.89
20140613,3.81,3.97
20140616,3.58,3.56
20140617,3.4,3.74
20140618,3.7,3.81
20140619,3.51,3.67
20140623,4.12,4
20140624,4.07,3.89
20140625,3.87,3.9
20140626,3.89,3.84
20140627,3.82,3.89
20140630,3.98,3.93
20140701,4,4.04
20140702,4.05,4.13
20140703,4.15,4.07
20140704,4.07,4.03
20140707,4.06,3.99
20140708,4.02,4.19
20140710,4.24,4.49
20140711,4.49,4.59
20140714,4.58,4.5
20140715,4.5,4.4
20140716,4.4,4.25
20140717,4.23,4
20140718,4.15,4.24
20140721,4.2,4.09
20140722,4.13,4.11
20140723,4.07,3.91
20140724,4.03,3.91
20140725,3.92,3.71
20140728,3.67,3.66
20140729,3.61,4.02
20140730,4.38,4.55
20140731,4.01,4.06
20140801,4.05,4.15
20140804,4.18,4.31
20140805,4.28,4.1
20140806,4.1,4.2
20140807,4.28,4.35
20140808,4.38,4.38
20140811,4.38,4.32
20140812,4.28,4.39
20140813,4.4,4.34
20140814,4.33,4.22
20140815,4.25,4.37
20140819,4.5,4.51
20140820,4.47,4.48
20140821,4.47,4.38
20140822,4.42,4.52
20140825,4.55,4.52
20140826,4.49,4.45
20140827,4.52,4.55
20140828,4.55,4.49
20140829,4.49,4.53
20140901,4.56,4.58
20140902,4.63,4.58
20140903,4.62,4.86
20140904,4.9,4.69
20140905,4.88,4.94
20140908,4.94,5.24
20140909,5.25,5.32
20140910,5.37,5.3
20140911,5.3,5.4
20140912,5.39,5.59
20140915,5.6,5.5
20140916,5.59,5.77
20140917,5.75,5.72
20140918,5.71,5.65
20140919,5.65,5.68
20140922,5.85,6
20140923,6.04,6.13
20140924,6.13,6.14
20140925,6.2,6.04
20140926,6.19,6.27
20140929,6.3,6.5
20140930,6.5,6.41
20141001,6.45,5.82
20141002,5.7,5.47
20141003,5.39,5.93
20141006,6.2,5.63
20141007,5.59,5.57
20141008,5.57,5.62
20141009,5.56,5.29
20141010,5.3,5.25
20141014,5.05,5
20141015,4.7,4.78
20141016,4.6,5.08
20141017,5.2,5.45
20141020,5.6,5.9
20141021,5.94,5.68
20141022,5.59,5.5
20141023,5.53,5.32
20141024,5.32,5.56
20141027,5.5,5.57
20141028,5.6,5.52
20141029,5.59,5.49
20141030,5.46,5.71
20141031,5.95,5.91
20141103,5.96,6.25
20141104,6.38,6.13
20141105,6.12,6
20141107,6.1,6
20141110,5.8,5.87
20141111,5.82,5.7
20141112,5.79,5.51
20141113,5.53,5.37
20141114,5.35,5.44
20141117,5.4,5.2
20141118,5.3,5.47
20141119,5.45,5.3
20141120,5.3,5.39
20141121,5.4,5.79
20141125,5.75,5.47
20141126,5.56,5.59
20141127,5.6,5.62
20141128,5.62,5.4
20141201,5.35,5.12
20141202,5.09,5.15
20141203,5.15,5.37
20141204,5.39,5.2
20141205,5.3,5.44
20141209,5.31,5.24
20141210,5.22,4.8
20141211,4.68,5.07
20141212,5.15,4.79
20141215,4.8,4.32
20141216,4.3,4.3
20141217,4.3,4.4
20141218,4.5,4.25
20141219,4.33,4.24
20141222,4.27,4.39
20141223,4.52,4.51
20141229,4.6,4.55
20141230,4.6,4.41
20150102,4.5,4.64
20150105,4.69,4.45
20150106,4.45,4.36
20150107,4.45,4.6
20150108,4.72,4.93
20150109,5,4.92
20150112,4.92,4.84
20150113,4.9,4.9
20150114,4.85,4.98
20150115,5.08,4.94
20150116,4.9,5.02
20150119,5.05,5.05
20150120,5.1,5.09
20150121,5.12,5.2
20150122,5.21,5.17
20150123,5.2,5.23
20150126,5.23,5.33
20150127,5.33,5.59
20150128,5.58,5.75
20150129,5.75,5.57
20150130,5.5,5.42
20150202,5.31,5.45
20150203,5.5,5.59
20150204,5.6,5.6
20150205,5.6,5.8
20150206,5.8,5.69
20150209,5.71,5.7
20150210,5.78,5.72
20150211,5.7,5.74
20150212,5.75,5.8
20150213,5.9,5.98
20150218,5.97,5.85
20150219,5.85,5.8
20150220,5.83,5.89
20150223,5.99,6.05
20150224,6.1,6.09
20150225,6.14,6.15
20150226,6.19,6.15
20150227,6.22,6.17
20150302,6.2,6.24
20150303,6.25,6.44
20150304,6.49,6.5
20150305,6.55,6.9
20150306,7,7.02
20150309,7.05,7.4
20150310,7.45,7.19
20150311,7.34,7.59
20150312,7.7,7.53
20150313,7.6,8.15
20150316,8.31,8.48
20150317,8.85,8.98
20150318,8.72,8.92
20150319,8.99,9.15
20150320,9.3,9.42
20150325,9.12,8.81
20150326,8.74,8
20150327,7.9,8.34
20150330,8.5,8.37
20150331,8.4,8.39
20150401,8.39,8.48
20150406,8.5,8.71
20150407,8.8,8.51
20150408,8.51,8.53
20150409,8.55,8.46
20150410,8.47,8.57
20150413,8.6,8.38
20150414,8.3,8.24
20150415,8.25,8.2
20150416,8.09,8.16
20150417,8.16,8.03
20150420,8.12,7.84
20150421,7.8,7.55
20150422,7.55,7.81
20150423,7.81,8.12
20150424,8.41,8.48
20150427,8.6,8.3
20150428,8.31,8.37
20150429,8.4,8.05
20150430,8.07,7.78
20150504,7.82,8.34
20150505,8.35,8.29
20150506,8.18,7.97
20150507,7.8,7.88
20150508,7.95,8.01
20150511,8.01,7.84
20150512,7.92,7.94
20150513,7.88,7.79
20150514,7.79,7.85
20150515,7.84,7.8
20150518,7.8,7.75
20150519,7.71,7.5
20150520,7.59,7.4
20150521,7.25,7.14
20150522,7.02,7.01
20150526,6.88,6.86
20150527,6.8,6.86
20150528,6.88,6.72
20150529,6.75,6.68
20150601,6.61,6.65
20150602,6.65,7.25
20150603,6.89,6.9
20150604,7.14,7.19
20150605,7.2,7.09
20150608,7.05,7
20150609,6.97,7.14
20150610,7.15,7.08
20150611,7,7.1
20150612,7.15,7.1
20150615,6.97,6.85
20150616,6.82,6.7
20150617,6.45,6.46
20150618,6.46,6.35
20150619,6.35,6.46
20150622,6.5,6.97
20150623,7,7
20150624,7,6.96
20150625,7,7.02
20150626,7.04,7
20150629,6.8,6.78
20150630,6.8,7.07
20150701,7.14,7.3
20150702,7.3,7.48
20150703,7.5,7.7
20150706,7.69,7.88
20150707,7.84,7.8
20150708,7.8,7.59
20150710,7.8,7.67
20150713,7.85,8.04
20150714,8.04,8.3
20150715,8.33,8.72
20150716,8.95,9
20150717,8.89,9.17
20150720,8.89,8.8
20150721,8.6,8.89
20150722,8.88,8.45
20150723,8.4,8.5
20150724,8.4,7.92
20150727,7.8,7.94
20150728,8.15,8.1
20150729,8.15,8.27
20150730,8.32,8.27
20150731,8.27,8.2
20150803,8.2,8.05
20150804,8.1,8.01
20150805,8.01,8.11
20150806,8.2,8.51
20150807,8.5,8.54
20150810,8.7,9.04
20150811,8.89,8.8
20150812,8.68,8.99
20150813,8.99,9.1
20150814,9.14,9.13
20150818,9.1,8.9
20150819,8.9,8.85
20150820,8.8,8.75
20150821,8.64,8.43
20150824,8,8
20150825,8.35,8
20150826,8,8.42
20150827,8.7,8.89
20150828,8.89,8.9
20150831,8.88,8.9
20150901,8.7,8.82
20150902,8.8,8.88
20150903,8.8,9.18
20150904,9.1,9.23
20150907,9.2,9.24
20150908,9.27,9.44
20150909,9.44,9.6
20150910,9.62,9.5
20150911,9.55,9.4
20150914,9.29,9.19
20150915,9.23,9.28
20150916,9.5,9
20150917,9.06,9.52
20150918,9.47,9.41
20150921,9.41,9.24
20150922,9.3,8.8
20150923,9,9
20150924,8.95,9
20150925,9,9.11
20150928,9.09,8.55
20150929,8.61,8.5
20150930,8.65,8.4
20151001,8.5,8.1
20151002,8.24,8.5
20151005,8.7,8.75
20151006,8.75,8.63
20151007,8.75,8.5
20151008,8.68,8.69
20151009,8.85,8.8
20151013,9.15,9.13
20151014,9.1,9.3
20151015,9.27,9.37
20151016,9.13,9.75
20151019,9.75,9.97
20151020,9.99,9.91
20151021,9.99,9.76
20151022,9.8,9.91
20151023,10,10.7
20151026,11.95,12.1
20151027,12.3,12.35
20151028,12.3,12.7
20151029,12.9,12.95
20151030,12.95,13.2
20151102,13.55,13.3
20151103,13.3,12.8
20151104,12.9,13
20151105,13,13.1
20151109,13.2,13
20151110,13.15,13.5
20151111,13.7,14.05
20151112,14.3,14.5
20151113,14.5,14.7
20151116,14.9,14.6
20151117,14.65,14.65
20151118,14.65,14.65
20151119,14.6,14.65
20151120,14.95,15.4
20151123,16.5,13.3
20151124,13.3,13
20151125,13.4,12.3
20151126,12.15,12.2
20151130,13,12.8
20151201,12.9,12.7
20151202,12.85,12.3
20151203,12.25,12.05
20151204,12.05,12.5
20151209,12.6,13.4
20151210,13.65,13.65
20151211,13.5,12.65
20151214,12.65,12
20151215,12.1,11.95
20151216,11.95,11.75
20151217,12.1,12.4
20151218,12.4,11.75
20151221,11.75,11.2
20151222,11,11.5
20151223,11.55,12.3
20151228,12.4,11.85
20151229,12,11.7
20151230,11.95,11.6
20160104,11.4,11.05
20160105,11,11
20160106,11.05,11.25
20160107,10.9,11.15
20160108,11.2,11.6
20160111,11.7,11.15
20160112,11.35,11
20160113,10.9,10.95
20160114,10.95,11.4
20160115,11,10.65
20160118,10.65,10.15
20160119,10.35,10.45
20160120,10.25,9.85
20160121,9.95,10.4
20160122,10.75,11.45
20160125,11.5,11.95
20160126,11.95,11.8
20160127,11.9,12.3
20160128,12.6,12.55
20160129,12.85,12.75
20160201,12.85,12.45
20160202,12.45,12.95
20160203,13,12.75
20160204,12.85,12.9
20160205,13.05,13.1
20160210,13.1,13.35
20160211,13,12.85
20160212,13,12.75
20160215,12.9,12.75
20160216,12.5,13
20160217,13,13.25
20160218,13.25,13.15
20160219,12.95,12.95
20160222,12.95,13.85
20160223,13.95,13.95
20160224,13.9,14
20160225,14,14.45
20160226,14.6,14.25
20160229,14.3,14.25
20160301,14.35,13.95
20160302,14,13.35
20160303,13.4,12.95
20160304,13,12.7
20160307,12.45,12.35
20160308,12.35,12.4
20160309,12.6,12.4
20160310,12.85,12.35
20160311,12.4,11.9
20160314,11.85,11.8
20160315,11.8,11.5
20160316,11.9,12.3
20160317,12.45,12.2
20160318,12.2,11.8
20160321,11.8,11.7
20160322,11.8,11.95
20160323,11.8,11.7
20160328,11.75,12.1
20160329,12.1,12.15
20160330,12.15,12.15
20160331,12.25,12.6
20160401,12.55,12.65
20160404,12.6,12.45
20160405,12.4,12.25
20160406,12.15,11.85
20160407,11.7,11.3
20160408,11.4,11.55
20160411,11.8,11.5
20160412,11.55,11.7
20160413,11.85,12.7
20160414,12.75,12.9
20160415,12.9,12.75
20160418,12.7,12.6
20160419,12.7,12.8
20160420,12.85,12.75
20160421,12.75,12.75
20160422,12.65,12.4
20160425,12.4,11.9
20160426,11.9,12.1
20160427,12.1,11.9
20160428,11.85,11.85
20160429,11.75,11.75
20160502,11.75,11.65
20160503,11.5,11.45
20160504,11.6,11.85
20160505,12.1,12.4
20160506,12.4,12.8
20160509,12.75,12.6
20160510,12.6,12.75
20160511,12.75,12.75
20160512,12.5,12.7
20160513,13,12.85
20160516,12.95,12.8
20160517,12.8,12.65
20160518,12.65,12.35
20160519,12.1,11.95
20160520,12.1,12
20160523,12,11.75
20160524,11.8,11.9
20160526,12.1,12.75
20160527,12.75,12.95
20160530,12.95,12.8
20160531,12.8,13.1
20160601,13,13.05
20160602,13.05,12.95
20160603,13.1,13.2
20160606,13.25,13.5
20160607,13.5,14.15
20160608,14.15,14.45
20160609,14.45,14.45
20160610,14.3,14.25
20160613,14.25,14.5
20160614,14.45,14.35
20160615,14.2,14.45
20160616,14.5,14.65
20160621,14.9,14.95
20160622,14.95,15
20160623,15.25,15.5
20160624,14.45,15.6
20160627,15.5,15.8
20160628,16,16.1
20160629,16.2,16.3
20160630,16.4,16.35
20160701,16.55,16.9
20160704,16.4,17
20160705,17,17.2
20160706,17,17
20160707,17.15,16.5
20160711,16.9,16.7
20160712,16.8,16.2
20160713,16,16.3
20160714,16.15,16.65
20160715,16.7,17
20160718,16.8,17.25
20160719,17.2,16.6
20160720,16.6,16.35
20160721,16.3,16.25
20160722,16.3,16.6
20160725,16.7,16.25
20160726,16.25,16.05
20160727,16.1,16.3
20160728,16.4,16.2
20160729,16.4,16.55
20160801,16.5,16.55
20160802,16.65,16.45
20160803,16.45,16.4
20160804,16.4,16.5
20160805,16.5,16.45
20160808,16.45,16.15
20160809,16.35,16.4
20160810,16.4,16.55
20160811,16.2,16.4
20160812,16.45,15.9
20160816,16,15.2
20160817,15.25,15.55
20160818,15.7,15.15
20160819,14.95,15
20160822,15.1,15.25
20160823,15.4,15.5
20160824,15.8,15.75
20160825,15.9,15.7
20160826,15.8,15.45
20160829,15.45,15.5
20160830,15.65,15.2
20160831,15.35,15.1
20160901,15.1,15.35
20160902,15.65,15.5
20160905,15.7,15.4
20160906,15.8,16.45
20160907,16.65,16.7
20160908,16.85,16.85
20160909,16.8,16.55
20160912,16.3,16.65
20160913,16.65,16.5
20160914,16.7,16.95
20160915,17,17.9
20160916,17.6,18.15
20160919,18.5,18.55
20160920,18.75,18.6
20160921,18.6,18.85
20160922,19.1,19.7
20160923,19.5,19.45
20160926,19.4,19.05
20160927,19.05,18.6
20160928,18.75,18.9
20160929,19,19.65
20160930,19.75,19.3
20161003,19.25,19.6
20161004,19.65,19.25
20161005,19.5,19.4
20161006,19.4,19.2
20161007,19.25,19.25
20161011,19.7,19.8
20161012,19.85,19.6
20161013,19.65,19.5
20161014,19.6,19.6
20161017,19.6,20
20161018,20,20
20161019,20.4,20.8
20161020,21,20.85
20161021,20.7,21.1
20161024,21.7,21
20161025,21.1,20.9
20161026,20.9,20.4
20161027,20.4,20.45
20161028,20.5,20.75
20161031,20.9,20.55
20161101,20.7,20.4
20161102,20.15,20.15
20161103,20.3,20.1
20161104,20.15,20.2
20161107,20.8,20.7
20161108,20.8,20.55
20161109,19.65,20.65
20161110,21,20.05
20161111,19.85,19.65
20161114,19.65,19.9
20161115,20.3,20.75
20161116,21,20.95
20161117,21,21
20161118,21,20.7
20161121,20.65,21.5
20161122,21.5,23
20161123,23,22.65
20161124,22.8,22.2
20161125,22.2,22.1
20161129,22.45,21.8
20161130,22.1,22.25
20161201,22.5,22
20161202,22,22.2
20161205,22.25,22.25
20161206,22.25,22.8
20161207,23,22.8
20161212,22.75,22.25
20161213,22.5,22.7
20161214,22.7,22.05
20161215,22,22.2
20161216,22,22.05
20161219,22.25,21.55
20161220,21.5,21.1
20161221,21.1,21.65
20161222,21.7,21.35
20161223,21.35,20.95
20161226,20.95,20.3
20161227,20.2,20.6
20161228,20.9,20.75
20161229,20.75,22
20170102,22.15,23.2
20170103,23.35,23.15
20170104,23.2,23.35
20170105,23.55,23
20170106,23.2,23.5
20170109,24,23.7
20170110,24.45,24.85
20170111,25.05,25.3
20170112,25.8,25.1
20170113,25.15,26
20170116,26,26.35
20170117,26.5,26.7
20170118,27.2,27.35
20170119,27.4,27
20170120,26.55,27.7
20170123,27.7,28.8
20170124,28.8,28.55
20170125,28.5,28.4
20170126,28.85,28.85
20170127,28.8,28.85
20170130,28.8,28.9
20170131,28.95,29.5
20170201,29.6,30.25
20170202,30.3,30.95
20170203,31,29.45
20170206,29.45,29.95
20170207,30.45,30.1
20170208,29.8,28.85
20170209,28.85,28.7
20170210,28.6,29.15
20170213,29.5,28.8
20170214,29.1,29.2
20170215,29.3,29.3
20170216,29.6,29
20170217,29.2,29.4
20170220,29.65,30.5
20170221,30.8,30.45
20170222,30.45,29.95
20170223,30.2,28.9
20170224,29,28.5
20170301,28.75,29.1
20170302,29.3,28.5
20170303,28.25,29.1
20170306,29.1,29.2
20170307,29.2,29.2
20170308,29.15,29.45
20170309,29.45,28.75
20170310,28.75,28.75
20170313,28.8,29.1
20170314,29.05,29.4
20170315,29.5,29.8
20170316,30,30.55
20170317,30.75,30.4
20170320,30.65,31.5
20170321,32,30.9
20170322,31,31.05
20170323,31.05,31.3
20170327,32.15,32.2
20170328,32.2,33.05
20170329,33.05,33.7
20170330,33.7,34
20170331,34,33.7
20170403,33.75,33
20170404,33,33.7
20170405,33.6,33.7
20170406,33.8,34.85
20170407,34.9,34.55
20170410,34.8,36
20170411,36.4,36
20170412,35.9,35.75
20170417,35.85,35.7
20170418,35.75,35.65
20170419,35.45,35.15
20170420,35.4,35.75
20170421,35.8,36.1
20170424,36.2,36.45
20170425,36.9,36
20170426,35.75,35.05
20170427,34.7,34.15
20170428,34.25,34
20170502,34.5,35.2
20170503,35.2,35.6
20170504,35.85,35.55
20170505,35.95,35.6
20170508,35.05,35.8
20170509,35.8,35.85
20170510,35.95,36.75
20170511,36.9,36.9
20170512,38,37.1
20170515,36.7,36.7
20170516,36.5,37.4
