0,prom_ap_cierre,tendencia
20101209,0.26253,-0.005
20101210,0.25943,-0.00281
20101213,0.25935,0.00025
20101214,0.25516,0.00165
20101215,0.24453,0.00067
20101216,0.24182,-0.00142
20101217,0.25198,-0.00036
20101220,0.25268,0.00337
20101221,0.24733,0.00565
20101222,0.24748,0.00515
20101223,0.24748,0.00306
20101227,0.25082,0.00031
20101228,0.26253,-0.00096
20101229,0.2682,-0.00069
20101230,0.26455,-0.0013
20101231,0.26509,-0.00199
20110103,0.26564,-0.00282
20110104,0.26284,-0.00306
20110105,0.26222,-0.00225
20110106,0.26028,-0.00048
20110107,0.25695,0.00123
20110110,0.25136,0.00261
20110111,0.25136,0.00424
20110112,0.25183,0.00686
20110113,0.25431,0.00905
20110114,0.25602,0.00636
20110118,0.2623,0.00201
20110119,0.26905,-0.00121
20110120,0.28209,-0.00235
20110121,0.2914,-0.00254
20110124,0.28294,-0.00337
20110125,0.27867,-0.004
20110126,0.2824,-0.00283
20110127,0.27992,-0.00095
20110128,0.2696,-0.00102
20110131,0.2682,-0.00171
20110201,0.26828,-0.00183
20110202,0.26641,-0.00166
20110203,0.26572,-0.00268
20110204,0.2644,-0.00338
20110207,0.26075,-0.00391
20110208,0.25974,-0.00373
20110209,0.25974,-0.00142
20110210,0.25152,0.00061
20110211,0.24795,0.00211
20110214,0.24608,0.00131
20110215,0.24383,-0.00148
20110216,0.24647,-0.00411
20110217,0.25082,-0.00412
20110218,0.25315,-0.00177
20110222,0.24702,-0.00041
20110223,0.24096,-0.00093
20110224,0.23638,-0.00081
20110225,0.23786,-0.00035
20110228,0.23972,0.00065
20110301,0.23724,0.00042
20110302,0.23204,-0.00164
20110303,0.23763,-0.00293
20110304,0.23778,-0.00339
20110307,0.23763,-0.00372
20110308,0.23413,-0.0051
20110309,0.23126,-0.00426
20110310,0.2263,-0.00276
20110311,0.22459,-0.00068
20110314,0.21885,0.00127
20110315,0.20946,0.00062
20110316,0.21256,0.00036
20110317,0.21396,0.00042
20110318,0.21318,0.00023
20110321,0.21551,0.00058
20110322,0.21489,0.00051
20110323,0.21489,0.00038
20110324,0.21559,0.00023
20110325,0.21633,0.00122
20110328,0.21706,0.0035
20110329,0.21668,0.00474
20110330,0.2173,0.00402
20110331,0.21737,0.00095
20110401,0.22281,-0.00195
20110404,0.23142,-0.00265
20110405,0.23398,-0.00234
20110406,0.23188,-0.00177
20110407,0.22731,-0.00168
20110408,0.22498,-0.00175
20110411,0.2242,-0.00219
20110412,0.22172,-0.0026
20110413,0.22009,0.00139
20110414,0.21862,0.00355
20110415,0.21699,0.00401
20110418,0.21233,0.00292
20110419,0.21024,-0.00041
20110420,0.22894,0.00065
20110421,0.22645,0.00191
20110425,0.22428,0.00336
20110426,0.22715,0.00386
20110427,0.22653,0.00202
20110428,0.22855,-0.00133
20110429,0.23313,-0.00404
20110502,0.24065,-0.00387
20110503,0.2398,-0.00232
20110504,0.2353,-0.00052
20110505,0.22917,0.0
20110506,0.22575,0.00136
20110509,0.22521,0.00195
20110510,0.22568,0.00182
20110511,0.22661,0.00151
20110512,0.22544,0.00077
20110513,0.23212,0.00079
20110516,0.23266,-0.00012
20110517,0.23212,-0.00126
20110518,0.23297,-0.00218
20110519,0.23584,-0.00202
20110520,0.23476,-0.00124
20110523,0.23064,-0.00104
20110524,0.22925,-0.00135
20110525,0.22769,-0.00119
20110526,0.22614,-0.00121
20110527,0.22599,-0.00074
20110531,0.2249,-0.0001
20110601,0.22156,-0.00021
20110602,0.22242,0.00099
20110603,0.22118,0.00259
20110606,0.22141,0.00303
20110607,0.22156,0.00292
20110608,0.22118,0.00137
20110609,0.22622,-0.00077
20110610,0.23204,-0.00131
20110613,0.23126,-0.00117
20110614,0.23328,0.00072
20110615,0.23243,0.00218
20110616,0.22762,0.00166
20110617,0.22754,0.00073
20110620,0.22987,-0.00038
20110621,0.23491,-0.00049
20110622,0.23483,0.0
20110623,0.23336,0.0
20110624,0.23429,0.00066
20110627,0.23328,0.00069
20110628,0.23243,0.00086
20110629,0.23437,0.00248
20110630,0.23421,0.00289
20110701,0.23569,0.00189
20110705,0.23522,-0.00042
20110706,0.23817,-0.00268
20110707,0.24539,-0.00334
20110708,0.24508,-0.00404
20110711,0.2412,-0.00346
20110712,0.23817,-0.00249
20110713,0.23545,-0.00098
20110714,0.23126,0.00027
20110715,0.22443,-0.00026
20110718,0.22637,-0.0007
20110719,0.22544,-0.00062
20110720,0.22583,-0.00035
20110721,0.22606,-0.00013
20110722,0.22475,-0.00034
20110725,0.2225,-0.00062
20110726,0.22451,0.0
20110727,0.22443,0.00093
20110728,0.22312,-0.0005
20110729,0.22149,-0.00383
20110801,0.22288,-0.00811
20110802,0.22475,-0.00982
20110803,0.22614,-0.00805
20110804,0.21737,-0.00417
20110805,0.20744,0.0
20110808,0.19355,0.0013
20110809,0.18897,0.00101
20110810,0.18634,0.00013
20110811,0.19022,-0.00062
20110812,0.19278,-0.00087
20110815,0.19223,-0.00053
20110816,0.19037,-0.00019
20110817,0.19208,0.0006
20110818,0.18975,0.00061
20110819,0.1882,-0.00111
20110822,0.18967,-0.0012
20110823,0.19115,-0.00064
20110824,0.1913,0.00047
20110825,0.19045,0.00154
20110826,0.18447,0.0
20110829,0.18859,-0.00138
20110830,0.18905,-0.00119
20110831,0.19053,-0.00033
20110901,0.19122,0.00073
20110902,0.18727,0.00045
20110906,0.18378,-0.0012
20110907,0.18828,-0.00189
20110908,0.18905,-0.00158
20110909,0.18828,-0.00071
20110912,0.18603,-0.00037
20110913,0.18378,0.0
20110914,0.18184,-0.00013
20110915,0.18246,-0.00131
20110916,0.18315,-0.0026
20110919,0.18129,-0.00244
20110920,0.18246,-0.00122
20110921,0.18215,0.00091
20110922,0.17617,0.00209
20110923,0.17144,0.0008
20110926,0.17563,-0.00028
20110927,0.17633,-0.00231
20110928,0.17827,-0.00303
20110929,0.18059,-0.0021
20110930,0.17749,-0.00061
20111003,0.17532,0.0013
20111004,0.16934,0.00171
20111005,0.1695,0.00223
20111006,0.16989,0.00344
20111007,0.17198,0.00515
20111010,0.17462,0.00559
20111011,0.17571,0.0042
20111012,0.1792,0.0013
20111013,0.18688,-0.00063
20111014,0.19479,-0.00036
20111017,0.19588,0.0013
20111018,0.19572,0.00154
20111019,0.19293,0.00113
20111020,0.19309,0.001
20111021,0.19541,0.00038
20111024,0.201,-0.00011
20111025,0.19666,-0.00299
20111026,0.19813,-0.00348
20111027,0.20185,-0.00071
20111028,0.2003,0.00134
20111031,0.19503,0.0019
20111101,0.18657,-0.00012
20111102,0.1913,-0.00236
20111103,0.1986,-0.0024
20111104,0.19572,-0.00223
20111107,0.19386,-0.00213
20111108,0.19309,-0.0013
