fecha,apertura,maximo,minimo,ultima
20170307,335.05,339.50,332.55,336.00
20170306,329.50,334.00,326.00,333.90
20170303,323.00,330.05,323.00,330.00
20170302,330.00,331.00,321.55,322.95
20170301,325.00,330.95,323.00,329.50
20170224,334.00,334.00,324.50,325.00
20170223,342.50,344.50,329.50,331.00
20170222,350.00,350.00,340.50,342.00
20170221,340.25,350.50,335.00,350.00
20170220,332.50,333.90,326.00,333.90
20170217,334.00,334.00,331.00,332.50
20170216,333.00,335.00,332.00,334.50
20170215,335.00,336.00,328.00,332.00
20170214,334.00,339.00,334.00,335.20
20170213,340.00,341.00,331.50,334.00
20170210,337.00,341.80,334.50,340.00
20170209,334.50,336.45,332.00,334.50
20170208,335.05,335.05,322.00,331.40
20170207,345.55,345.60,328.00,335.00
20170206,343.00,346.95,342.00,345.55
20170203,350.50,353.00,341.80,344.00
20170202,341.00,350.10,341.00,350.00
20170201,346.00,352.00,339.55,341.00
20170131,334.30,343.90,334.30,343.50
20170130,349.00,351.00,334.25,334.30
20170127,350.10,350.70,348.00,349.00
20170126,360.00,361.50,350.10,350.70
20170125,358.00,368.00,355.00,359.55
20170124,346.00,358.95,345.00,357.50
20170123,335.00,346.00,330.00,346.00
20170120,326.00,338.50,320.00,336.50
20170119,330.00,331.50,320.00,326.00
20170118,334.00,339.00,327.00,331.00
20170117,334.05,341.00,334.00,335.00
20170116,337.00,339.00,333.50,334.65
20170113,329.00,335.00,326.00,333.00
20170112,330.15,333.90,323.10,328.00
20170111,330.00,341.00,321.00,324.00
20170110,305.00,324.95,300.05,324.90
20170109,273.90,290.85,272.15,290.50
20170106,271.00,274.00,270.00,273.85
20170105,270.00,273.00,267.90,270.00
20170104,273.00,276.00,270.50,273.00
20170103,273.00,276.50,270.00,275.00
20170102,261.05,280.00,260.00,273.00
20161230,254.90,259.70,252.00,259.00
20161229,254.90,259.70,252.00,259.00
20161228,244.90,252.90,244.90,252.20
20161227,232.00,244.90,232.00,244.90
20161226,239.00,240.00,230.60,233.00
20161223,238.00,243.45,235.50,240.00
20161222,246.00,248.00,239.00,239.00
20161221,241.00,245.00,239.25,245.00
20161220,237.60,241.00,237.60,241.00
20161219,245.00,247.00,237.00,237.50
20161216,246.50,248.00,240.20,245.00
20161215,253.00,253.50,245.00,246.60
20161214,261.60,261.60,253.00,254.00
20161213,260.00,264.00,255.00,261.60
20161212,265.00,268.90,258.00,259.00
20161207,260.30,261.00,258.00,259.10
20161206,260.00,262.50,259.50,260.25
20161205,260.10,265.50,256.00,262.55
20161202,262.00,264.90,260.00,260.10
20161201,269.00,275.00,263.00,264.20
20161130,262.50,270.50,262.50,269.70
20161129,255.00,257.65,250.00,256.50
20161125,265.00,265.00,258.00,258.00
20161124,264.00,267.00,263.00,265.80
20161123,265.60,265.60,260.00,264.50
20161122,264.00,268.00,262.50,265.50
20161121,254.00,264.90,254.00,264.00
20161118,249.50,255.90,245.00,254.00
20161117,257.70,260.90,249.00,250.00
20161116,263.00,263.00,256.00,257.60
20161115,250.00,265.00,250.00,263.00
20161114,242.10,248.00,238.00,247.50
20161111,240.50,245.00,235.00,242.05
20161110,244.50,245.00,236.00,240.50
20161109,232.00,246.95,232.00,244.00
20161108,255.50,257.00,250.30,250.60
20161107,255.10,260.00,252.50,255.20
20161104,252.85,253.50,250.00,252.50
20161103,256.50,256.50,251.75,252.00
20161102,261.00,261.00,254.85,256.50
20161101,272.00,272.00,258.50,262.50
20161031,270.00,272.00,266.00,268.35
20161028,276.00,280.00,269.05,271.50
20161027,279.00,282.40,275.50,276.00
20161026,285.00,285.00,277.25,279.00
20161025,286.00,288.90,285.00,285.90
20161024,289.00,290.00,283.50,288.00
20161021,289.00,290.90,287.55,288.25
20161020,295.00,295.50,288.00,289.50
20161019,295.00,298.00,294.00,294.50
20161018,293.50,294.50,289.00,292.00
