FECHA,  variacion  ,dia_anterior,prom3dias,prom5dias,prom10dias,prom15dias,prom20dias,prom25dias,prom30dias,prom60dias,percentil10_90dias,percentil20_90dias,percentil30_90dias,percentil40_90dias,percentil50_90dias,percentil60_90dias,percentil70_90dias,percentil10_60dias,percentil20_60dias,percentil30_60dias,percentil40_60dias,percentil50_60dias,percentil60_60dias,percentil70_60dias,percentil10_30dias,percentil20_30dias,percentil30_30dias,percentil40_30dias,percentil50_30dias,percentil60_30dias,percentil70_30dias,percentil10_20dias,percentil20_20dias,percentil30_20dias,percentil40_20dias,percentil50_20dias,percentil60_20dias,percentil70_20dias,percentil10_15dias,percentil20_15dias,percentil30_15dias,percentil40_15dias,percentil50_15dias,percentil60_15dias,percentil70_15dias,percentil10_10dias,percentil20_10dias,percentil30_10dias,percentil40_10dias,percentil50_10dias,percentil60_10dias,percentil70_10dias,percentil10_05dias,percentil20_05dias,percentil30_05dias,percentil40_05dias,percentil50_05dias,percentil60_05dias,percentil70_05dias,minimos_03dias,minimos_05dias,minimos_10dias,minimos_15dias,minimos_20dias,minimos_25dias,minimos_30dias,minimos_60dias,maximos_03dias,maximos_05dias,maximos_10dias,maximos_15dias,maximos_20dias,maximos_25dias,maximos_30dias,maximos_60dias
20121113,-0.01,0.89,0.896666667,0.898,0.888,0.886,0.891,0.896,0.899,0.951666667,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.849,0.87,0.897,0.9,0.915,0.95,1.03,0.9,0.9,0.93,0.93,0.93,0.95,0.95,1.1,0.9,0.9,0.93,0.93,0.93,0.95,0.95,1.1
20121114,0.02,0.88,0.89,0.894,0.891,0.885333333,0.89,0.8932,0.897666667,0.9485,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.867,0.87,0.89,0.9,0.91,0.944,1.03,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.1,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.1
20121115,-0.03,0.9,0.89,0.894,0.897,0.887333333,0.89,0.892,0.897,0.945166667,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.879,0.87,0.89,0.9,0.91,0.94,1.023,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.08,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.08
20121116,0.03,0.87,0.883333333,0.888,0.897,0.886,0.8875,0.8908,0.895666667,0.942,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.879,0.87,0.89,0.9,0.91,0.94,1.013,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.08,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.08
20121119,-0.03,0.9,0.89,0.888,0.897,0.886666667,0.887,0.8908,0.895333333,0.9395,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.879,0.87,0.89,0.9,0.91,0.934,1.01,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.08,0.9,0.9,0.93,0.93,0.93,0.93,0.95,1.08
20121120,0.03,0.87,0.88,0.884,0.891,0.886666667,0.8855,0.8896,0.894,0.936833333,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.87,0.87,0.89,0.9,0.905,0.93,0.989,0.9,0.9,0.9,0.93,0.93,0.93,0.95,1.08,0.9,0.9,0.9,0.93,0.93,0.93,0.95,1.08
20121121,-0.01,0.9,0.89,0.888,0.891,0.89,0.886,0.8896,0.892333333,0.9345,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.9,0.9,0.9,0.93,0.93,0.93,0.93,1.08,0.9,0.9,0.9,0.93,0.93,0.93,0.93,1.08
20121122,-0.05,0.89,0.886666667,0.886,0.89,0.893333333,0.887,0.8892,0.891,0.9315,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.87,0.87,0.89,0.9,0.9,0.93,0.98,0.9,0.9,0.9,0.93,0.93,0.93,0.93,1.08,0.9,0.9,0.9,0.93,0.93,0.93,0.93,1.08
20121123,0.04,0.85,0.88,0.882,0.885,0.892,0.885,0.8864,0.889333333,0.927666667,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.868,0.87,0.887,0.9,0.9,0.924,0.98,0.9,0.9,0.9,0.93,0.93,0.93,0.93,1.06,0.9,0.9,0.9,0.93,0.93,0.93,0.93,1.06
20121127,-0.05,0.88,0.873333333,0.878,0.883,0.890666667,0.8845,0.8852,0.888666667,0.924666667,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.868,0.87,0.88,0.9,0.9,0.92,0.98,0.89,0.9,0.9,0.93,0.93,0.93,0.93,1.06,0.89,0.9,0.9,0.93,0.93,0.93,0.93,1.06
20121128,-0.02,0.84,0.856666667,0.872,0.878,0.884666667,0.883,0.8828,0.886666667,0.921,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.849,0.866,0.877,0.896,0.9,0.92,0.973,0.88,0.9,0.9,0.9,0.93,0.93,0.93,1.04,0.88,0.9,0.9,0.9,0.93,0.93,0.93,1.04
